2610, 1702, 84, 88
2818, 1718, 2, 78
2910, 1708, 2, 73
2774, 1586, 39, 77
2838, 1542, 36, 73
2846, 1444, 47, 68
2858, 1370, 52, 65
2794, 1268, 65, 61
2648, 1346, 95, 67
3220, 1456, 22, 51
3224, 1402, 26, 49
3396, 1714, 359, 44
3192, 2510, 305, 33
3066, 2488, 299, 39
2646, 2452, 271, 49
2560, 2456, 264, 48
2068, 1994, 203, 56
2190, 1928, 202, 64
1774, 2230, 207, 33
1916, 1624, 167, 50
2086, 1544, 156, 58
2344, 958, 105, 42
1738, 1084, 140, 25
2542, 912, 91, 42
2670, 772, 83, 33
3444, 772, 47, 12
3214, 1184, 39, 42
3368, 984, 42, 26
3306, 992, 44, 30
1846, 662, 122, 9
1572, 1422, 160, 26
1498, 1340, 157, 19
2204, 2642, 243, 31
2982, 2776, 287, 24
2982, 2784, 287, 23
3068, 2742, 292, 24
3618, 2462, 322, 14
3492, 2530, 316, 19
2300, 2580, 247, 38
2398, 2484, 252, 45
2302, 2280, 238, 55
2224, 2304, 233, 51
2154, 2164, 220, 54
2736, 2286, 252, 63
2704, 2134, 282, 67
2010, 2276, 219, 44
1658, 1766, 179, 35
2144, 1610, 162, 63
2168, 1528, 151, 62
3194, 2222, 318, 46
3042, 2152, 314, 55
2986, 1994, 323, 64
2814, 1790, 342, 78
2790, 1722, 2, 79
2690, 1656, 40, 83
3402, 1706, 360, 44
1624, 1300, 153, 26
2960, 834, 66, 33
2368, 708, 100, 28
2256, 632, 104, 20
1690, 792, 131, 9
